eng_Latn,mal_Mlym
"Jane was the great granddaughter of Henry VII through his younger daughter Mary, and was a first cousin once removed of Edward VI.
","ഒരിക്കൽ നീക്കം ചെയ്ത എഡ്വേർഡ് ആറാമന്റെ ആദ്യത്തെ കസിനും ഹെൻറി ഏഴാമന്റെ ഇളയ മകളായ മേരിയിലൂടെ അദ്ദേഹത്തിന്റെ ചെറുമകളുമായിരുന്നു ജെയ്ൻ.
"
"Jane was the great- granddaughter of Henry VII through his younger daughter Mary, and was a first cousin once removed of Edward VI.
","ഒരിക്കൽ നീക്കം ചെയ്ത എഡ്വേർഡ് ആറാമന്റെ ആദ്യത്തെ കസിനും ഹെൻറി ഏഴാമന്റെ ഇളയ മകളായ മേരിയിലൂടെ അദ്ദേഹത്തിന്റെ ചെറുമകളുമായിരുന്നു ജെയ്ൻ.
"
"Jane was the great-granddaughter of Henry VIII through his younger daughter Mary, and was a first cousin once removed of Edward VI.
","ഒരിക്കൽ നീക്കം ചെയ്ത എഡ്വേർഡ് ആറാമന്റെ ആദ്യത്തെ കസിനും ഹെൻറി ഏഴാമന്റെ ഇളയ മകളായ മേരിയിലൂടെ അദ്ദേഹത്തിന്റെ ചെറുമകളുമായിരുന്നു ജെയ്ൻ.
"
"Kerry, who had no idea about the attack and has recently given birth to McCann's son, is a cousin of England and Spurs striker Harry Kane.
","ആക്രമണത്തെക്കുറിച്ച് യാതൊരു അറിവുമില്ലാത്ത കെറി, അടുത്തിടെ മക്കാന്റെ മകന് ജന്മം നൽകി, ഇംഗ്ലണ്ടിന്റെ കസിൻ, സ്പർസ് സ്ട്രൈക്കർ ഹാരി കെയ്ൻ.
"
"Kish's sons, who were their cousins, married them.
","കിഷിന്റെ പുത്രൻമാരായ അവരുടെ ചാർച്ചക്കാർ അവരെ വിവാഹംചെയ്തു.
"
"Laila, her mother Saleena Patel, brother, sister and a cousin have been missing since February 2011.
","ലൈല, അമ്മ സലീന പട്ടേൽ, സഹോദരി അസ്മിന, സഹോദരൻ എന്നിവരെ കഴിഞ്ഞ ഫെബ്രുവരി മുതലാണ് കാണാതായത്.
"
"Last year she was my cousin.
","കഴിഞ്ഞ വർഷം അവൾ എന്റെ മകളായിട്ടാണ് വന്നത്.
"
"Later the priest told the reporters that one of them is from Kanpur who came here for her studies and stayed with her cousin.
","പെൺകുട്ടികളിലൊരാൾ കാൺപൂരിലാണെന്നും പഠനത്തിനായി തന്റെ കസിനോടൊപ്പം ഇവിടെ താമസിക്കുകയാണെന്നും പുരോഹിതൻ പിന്നീട് മാധ്യമപ്രവർത്തകരോട് പറഞ്ഞു.
"
"Latha is not my cousin.
","ലാലേട്ടൻ എന്റെ ചേട്ടനല്ല.
"
"Leann isn't my cousin.
","ലെനിൻ എൻറെ നേതാവുമല്ല.
"
"Macbeth was the cousin of Duncan, the King of Scotland.
","സ്കോട്ട്ലൻഡിലെ രാജാവായിരുന്ന ഡങ്കന്റെ പടത്തലവനായിരുന്നു മക്ബെത്.
"
"Many people still do not know that these two are cousins.
","ഇവർ രണ്ടുപേരും സഹോദരിമാരാണെന്നത് അധികമാർക്കും ഇപ്പോഴുമറിയില്ല.
"
"Maradona first contact with soccer came when he was given his first soccer ball gift by his cousin, Beto Zarate.
","ഫുട്ബോളുമായുള്ള കുഞ്ഞു മറഡോണയുടെ ബന്ധം ആരംഭിക്കുന്നത് അവന്റെ മൂന്നാം പിറന്നാളിന് കസിനായ ബെറ്റോ സരാറ്റെയിൽ നിന്ന് ഒരു പന്ത് സമ്മാനമായി ലഭിച്ചതോടെയാണ്.
"
"Maradona was given his first soccer ball by his cousin, Beto Zarate, on his third birthday.
","ഫുട്ബോളുമായുള്ള കുഞ്ഞു മറഡോണയുടെ ബന്ധം ആരംഭിക്കുന്നത് അവന്റെ മൂന്നാം പിറന്നാളിന് കസിനായ ബെറ്റോ സരാറ്റെയിൽ നിന്ന് ഒരു പന്ത് സമ്മാനമായി ലഭിച്ചതോടെയാണ്.
"
"Marriage between cousins is allowed in Islam.
","സഹോദരരുടെ മക്കൾ തമ്മിലുള്ള വിവാഹം ഇസ്ലാമിൽ അനുവദിച്ചതുമാണ്.
"
"Marriage between cousins is not prohibited.
","ഇല്ലക്കാർ തമ്മിലുള്ള വിവാഹം നിഷിദ്ധമാണ്.
"
"Marriage with first cousins is legal in Europe, Canada Mexico and 26 states of the US.
","1. യൂറോപ്പിലും കാനഡയിലും മെക്സിക്കോയിലും യുഎസിലെ 26 സംസ്ഥാനങ്ങളിലും ആദ്യത്തെ കസിൻസുമായുള്ള വിവാഹം നിയമപരമാണ്.
"
"Marriages between first cousins are allowed in Islam.
","സഹോദരരുടെ മക്കൾ തമ്മിലുള്ള വിവാഹം ഇസ്ലാമിൽ അനുവദിച്ചതുമാണ്.
"
"Me and cousin Went together to watch the film.
","ഞാനും വല്യച്ച്ചനും ചേച്ചിയോടൊപ്പം ചെന്ന് സിനിമ കാണാനായി ആസനസ്ഥരായി. .
"
"Me and my cousin sister stayed that night in hospital.
","അന്നു രാത്രിയിൽ ഞാനും അച്ഛനും ആസ്പത്രിയിൽ തന്നെ താമസിച്ചു .
"
"Me and my cousins in 2012
","ഞാനും എൻ്റെ ഫാമിലിയും 2012
"
"Me: You're already my cousin...
",": ഇപ്പൊഴാടി നീ എന്റെ പഴയ ഷീ ആയത്. . .
"
"Meanwhile, Ananthan's cousin Bhadra Kavya Madhavan falls for him and his light-hearted flirting, eventually leading to a commitment of love between them.
","അതേസമയം, അനന്തന്റെ കസിൻ ഭദ്ര (കാവ്യ മാധവൻ) അവനുവേണ്ടി വീഴുന്നു, ഒപ്പം ലഘുവായ ഹൃദയമിടിപ്പ്, ഒടുവിൽ അവർ തമ്മിലുള്ള സ്നേഹത്തിന്റെ പ്രതിബദ്ധതയിലേക്ക് നയിക്കുന്നു.
"
"Meanwhile, Ananthan's cousin Bhadra falls for him and his light-hearted flirting, eventually leading to a commitment of love between them.
","അതേസമയം, അനന്തന്റെ കസിൻ ഭദ്ര (കാവ്യ മാധവൻ) അവനുവേണ്ടി വീഴുന്നു, ഒപ്പം ലഘുവായ ഹൃദയമിടിപ്പ്, ഒടുവിൽ അവർ തമ്മിലുള്ള സ്നേഹത്തിന്റെ പ്രതിബദ്ധതയിലേക്ക് നയിക്കുന്നു.
"
"Moreso, his father, mother and cousin were football players.
","മൊറേസോ, അച്ഛനും അമ്മയും കസിനും ഫുട്ബോൾ കളിക്കാരായിരുന്നു.
"
"Most of my cousins are boys.
","എന്റെ സുഹൃത്തുക്കളിൽ ഭൂരിഭാഗവും ആൺ കുട്ടികളാണ്.
"
"Most of the time, his little cousin would join him.
","മിക്ക സമയത്തും അവന്റെ ചെറിയ കസിൻ അവനോട് ചേരുമായിരുന്നു.
"
"Mother had a first cousin.
","എൻ്റെ അമ്മയുടെ ഒരു ഫസ്റ്റ് കസിൻ ഉണ്ടായിരുന്നു .
"
"Mr. Poe was a cousin of the author Edgar Allen Poe.
","എഡ്ഗർ അലൻപോ (Edgar Allen Poe) എന്ന വിഖ്യാതനായ സാഹിത്യകാരനായിരുന്നു അതിന്റെ കർത്താവ്.
"
"Ms Shahid's family arranged her marriage to her first cousin Shakeel in February 2012 in Jhelum, in the Northern Punjab.
","തന്റെ ഫസ്റ്റ് കസിനായ ഷക്കീലിനെ 2012 ഫെബ്രുവരിയിൽ നോർത്തേൺ പഞ്ചാബിലെ ഝലത്തിൽ വച്ചായിരുന്നു സാമിയ വിവാഹം ചെയ്തിരുന്നത്.
"
"Muhammad bin Qasim married his cousin Zubaidah, Al-Hajjaj's daughter, shortly before going to Sindh.
","ഹജ്ജാജിന്റെ പുത്രിയായ സുബൈദയെ സിന്ധിലേയ്ക്കു പോകുന്നതിനു മുൻപ് മുഹമ്മദ് ബിൻ കാസിം വിവാഹം കഴിച്ചു.
"
"Muhammad bin Qasim married his cousin Zubaidah, Al-Hajjajs daughter, shortly before going to Sindh.
","ഹജ്ജാജിന്റെ പുത്രിയായ സുബൈദയെ സിന്ധിലേയ്ക്കു പോകുന്നതിനു മുൻപ് മുഹമ്മദ് ബിൻ കാസിം വിവാഹം കഴിച്ചു.
"
"Muhammad bin Qasim married his cousin Zubaidah, Hajjaj's daughter, shortly before going to Sindh.
","ഹജ്ജാജിന്റെ പുത്രിയായ സുബൈദയെ സിന്ധിലേയ്ക്കു പോകുന്നതിനു മുൻപ് മുഹമ്മദ് ബിൻ കാസിം വിവാഹം കഴിച്ചു.
"
"Muhammad married his cousin Zubaidah, Hajjaj's daughter, shortly before going to Sindh.
","ഹജ്ജാജിന്റെ പുത്രിയായ സുബൈദയെ സിന്ധിലേയ്ക്കു പോകുന്നതിനു മുൻപ് മുഹമ്മദ് ബിൻ കാസിം വിവാഹം കഴിച്ചു.
"
"My Dad's cousin died yesterday.
","എന്റെ അച്ഛന്റെ ജ്യേഷ്ഠൻ കഴിഞ്ഞ ദിവസം മരണപ്പെട്ടു.
"
"My brother, and my two cousins.
",". എന്റെ അനിയൻ, ഞാൻ , പിന്നെ എന്റെ രണ്ടു കസിൻസ്.
"
"My cousin Mitch should be here in the next month.
","മിയ്ക്കവാറും വരുന്ന മാസത്തിൽ എന്റെ പൊന്നുമോൾ ഇവിടെ എന്റടുത്തുണ്ടാവും.
"
